編號,車位類別,車位價格,車位面積平方公尺
RPOTMLMJRHIFFDA97DA,坡道平面,0,39.62
RPWNMLQLNHMFFAA38CA,坡道平面,2700000,34.43
RPWNMLKKNHMFFAA67CA,坡道平面,0,35.89
RPWNMLKKNHMFFAA67CA,坡道平面,0,35.89
RPVNMLQKOHMFFFA78CA,坡道平面,0,35.63
RPVNMLQKOHMFFFA78CA,坡道平面,0,35.63
RPWNMLKLOHMFFCA08CA,坡道平面,0,
RPQOMLTKOHMFFDA48CA,坡道平面,0,21.70
RPQOMLTKOHMFFDA48CA,坡道平面,0,21.70
SPOOMLLLOHMFFEA77CA,坡道平面,2500000,
RPSPMLNLNHMFFEA28CA,坡道平面,2900000,44.25
RPPNMLOLNHMFFEA87CA,坡道平面,0,23.74
RPPNMLOLNHMFFEA87CA,坡道平面,0,23.74
RPPNMLOLNHMFFEA87CA,坡道平面,0,23.74
RPPQMLQKNHMFFEA28CA,升降機械,0,5.17
RPTOMLMJOHMFFDA97CA,塔式車位,0,7.29
RPPOMLMKOHMFFCA57CA,坡道機械,0,14.88
RPPOMLMKOHMFFCA57CA,坡道機械,0,14.88
RPOPMLMKOHMFFCA57CA,塔式車位,700000,
RPTOMLOKOHMFFCA18CA,升降平面,0,30.42
RPTOMLOKOHMFFCA18CA,升降平面,0,30.42
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTOMLOKOHMFFCA18CA,升降機械,0,14.86
RPTNMLQKNHMFFDA28CA,坡道機械,0,20.01
RPXOMLSKNHMFFDA98CA,坡道平面,0,45.17
RPTPMLRKNHMFFCA48CA,升降機械,2300000,15.53
SPTPMLRKNHMFFCA58CA,升降機械,2300000,15.53
RPSQMLRKNHMFFCA48CA,坡道平面,0,23.31
RPSQMLRKNHMFFCA48CA,坡道平面,0,23.31
RPUOMLNKOHMFFBA08CA,坡道平面,2000000,33.70
RPVOMLNKOHMFFBA18CA,坡道平面,2300000,33.70
RPWOMLNKOHMFFBA28CA,坡道平面,2300000,33.70
RPPPMLNKOHMFFBA67CA,坡道平面,2100000,33.70
RPQPMLNKOHMFFBA77CA,坡道平面,2200000,33.70
RPUPMLNKOHMFFBA18CA,坡道平面,1350000,16.85
RPVOMLOKOHMFFBA28CA,坡道平面,2300000,33.70
SPVOMLOKOHMFFBA38CA,坡道平面,2300000,33.70
RPSNMLTKNHMFFCA38CA,坡道平面,0,
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.38
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPOOMLTKNHMFFCA08CA,坡道平面,1100000,40.25
RPWNMLLJOHMFFCA97CA,坡道平面,0,
RPVPMLMJOHMFFCA18CA,坡道機械,0,25.82
RPORMLMJOHMFFCA67CA,坡道平面,0,23.18
RPORMLMJOHMFFCA67CA,坡道平面,0,23.18
RPTQMLQJOHMFFCA48CA,坡道平面,2500000,26.49
RPWNMLMJOHMFFAA87CA,坡道平面,0,
RPWNMLMJOHMFFAA87CA,坡道平面,0,
RPWNMLMJOHMFFAA87CA,坡道平面,0,
RPQOMLRKNHMFFBA97CA,坡道平面,0,38.76
RPQOMLRKNHMFFBA97CA,坡道平面,0,38.76
RPXOMLMLNHMFFBA28CA,坡道平面,0,41.75
RPQNMLRJOHMFFAA87DA,坡道機械,1500000,13.82
RPOPMLRKNHMFFBA97DA,坡道機械,1500000,15.48
RPXRMLMLNHMFFCA78DA,坡道平面,0,21.00
RPXRMLMLNHMFFCA78DA,坡道機械,0,21.00
RPPQMLQLNHMFFCA28DA,坡道平面,0,12.99
RPPQMLQLNHMFFCA28DA,坡道平面,0,12.99
RPQNMLLLNHMFFCA57DA,坡道平面,2500000,27.14
RPPOMLMLNHMFFCA67DA,坡道平面,2000000,
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.57
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.55
RPSOMLQJOHMFFCA28DA,坡道平面,1600000,34.55
RPXQMLMLNHMFFDA78DA,坡道平面,4500000,65.68
RPWNMLMLNHMFFEA48DA,坡道平面,2500000,37.73
RPTOMLLJOHMFFBA67CA,坡道平面,2500000,33.71
RPQOMLSKNHMFFBA08CA,坡道平面,0,17.25
RPSOMLSKNHMFFBA28CA,坡道平面,0,38.76
RPSOMLSKNHMFFBA28CA,坡道平面,0,38.76
RPXNMLOKOHMFFAA28CA,塔式車位,0,17.43
RPSNMLSLNHMFFAA18CA,升降平面,0,
RPQPMLSKNHMFFAA08CA,坡道平面,0,23.01
RPRPMLSKNHMFFAA18CA,坡道機械,0,6.47
RPRPMLSKNHMFFAA18CA,坡道機械,0,6.47
RPVNMLNLNHMFFAA97CA,坡道平面,0,38.76
RPVNMLNLNHMFFAA97CA,坡道平面,0,33.69
RPVNMLNLNHMFFAA97CA,坡道機械,0,19.85
RPVNMLNLNHMFFAA97CA,坡道機械,0,19.85
RPVNMLSKNHMFFAA38CA,坡道機械,1600000,13.67
RPVOMLOLNHMFFCA38CA,坡道平面,0,
RPVOMLOLNHMFFCA38CA,坡道平面,0,
RPPPMLSKNHMFFCA18CA,坡道平面,0,
RPPPMLSKNHMFFCA18CA,坡道平面,0,
RPQOMLSKNHMFFDA28CA,坡道平面,0,52.33
RPQOMLSKNHMFFDA28CA,坡道平面,0,52.33
RPROMLSKNHMFFDA38CA,坡道平面,0,44.14
RPSNMLLMNHMFFDA87CA,坡道平面,0,
RPSNMLLMNHMFFDA87CA,坡道平面,0,
RPWOMLOLNHMFFEA68CA,坡道平面,0,41.51
RPWOMLOLNHMFFEA68CA,坡道平面,0,41.51
RPXOMLTKNHMFFEA56CA,坡道平面,1900000,39.79
RPWOMLRKNHMFFEA88CA,坡道平面,0,19.55
RPWOMLRKNHMFFEA88CA,坡道機械,0,19.55
RPSNMLSKNHMFFEA48CA,坡道平面,0,
RPUOMLSKNHMFFEA78CA,坡道平面,0,38.66
RPVOMLSKNHMFFEA88CA,坡道平面,0,35.15
RPUNMLMJOHMFFEA08CA,坡道平面,0,
RPTOMLLJOHMFFEA97CA,坡道平面,0,35.31
RPTOMLLJOHMFFEA97CA,坡道平面,0,35.31
RPSOMLNJOHMFFEA08CA,坡道平面,0,
RPQOMLTJOHMFFEA48CA,升降機械,2200000,19.17
RPPNMLRJOHMFFEA08CA,坡道平面,2200000,45.61
RPPNMLMLNHMFFFA77CA,塔式車位,0,
RPPNMLMJOHMFFEA57CA,升降機械,1800000,14.27
RPTNMLTKNHMFFEA68CA,升降平面,0,39.78
RPSQMLOKOHMFFCA28CA,坡道平面,0,35.72
RPSQMLOKOHMFFCA28CA,坡道平面,0,35.72
RPQPMLSKNHMFFCA28CA,塔式車位,0,
RPSOMLSKNHMFFCA38CA,坡道平面,0,
RPSOMLSKNHMFFCA38CA,坡道平面,0,
RPWOMLSKNHMFFCA78CA,坡道平面,0,
RPXOMLSKNHMFFCA88CA,坡道平面,0,
RPOPMLSKNHMFFCA08CA,坡道平面,0,31.04
RPUOMLLJOHMFFCA87CA,坡道平面,0,
RPXRMLQLNHMFFCA09CA,升降機械,0,7.10
